Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-567,20,1.059611231,1.67174735,567,0.404896826
rule_number-427,18,1.059816488,1.671750512,427,0.65995276
rule_number-120,17,1.059730087,1.671755877,120,0.356004328
rule_number-78,21,1.059601691,1.671776263,78,0.453482628
rule_number-89,18,1.059707852,1.671776319,89,0.377422482
rule_number-207,18,1.059699666,1.671784434,207,0.510550439
rule_number-156,18,1.059561774,1.671787021,156,0.406186849
rule_number-783,20,1.059475445,1.671799139,783,0.452054352
rule_number-847,18,1.059538894,1.671836887,847,0.4960078
rule_number-104,17,1.059954732,1.671838085,104,0.467708498
rule_number-795,18,1.059593707,1.671871241,795,0.542475343
rule_number-227,16,1.060030192,1.671891755,227,0.643576324
rule_number-60,20,1.059449713,1.671906171,60,0.361213982
rule_number-1,32,1.059154718,1.671982959,1,0.360932201
rule_number-855,17,1.059709921,1.671991159,855,0.637122393
rule_number-63,15,1.059210858,1.672026717,63,0.332773983
rule_number-511,17,1.059148668,1.672040749,511,0.354478955
rule_number-563,17,1.05956618,1.67204854,563,0.511753261
rule_number-127,18,1.059190698,1.672075041,127,0.333018303
rule_number-819,17,1.059726095,1.672089494,819,0.521526217
rule_number-411,24,1.059637137,1.672093625,411,0.574632168
rule_number-206,18,1.059719256,1.672118823,206,0.516943574
rule_number-255,15,1.059375255,1.67212345,255,0.333699793
rule_number-15,14,1.059232484,1.67213919,15,0.359843552
rule_number-615,18,1.059724762,1.672144216,615,0.619243979
rule_number-568,19,1.05963839,1.67214904,568,0.378277332
rule_number-7,26,1.059156534,1.672151452,7,0.359387398
rule_number-342,19,1.059776019,1.672159588,342,0.631426632
rule_number-343,17,1.059707693,1.67217284,343,0.622866988
rule_number-717,19,1.059792733,1.672194687,717,0.641174138
rule_number-85,18,1.05962114,1.672194708,85,0.640385687
rule_number-3,14,1.059153454,1.672197938,3,0.358954906
rule_number-854,20,1.059698176,1.672206744,854,0.638430178
rule_number-102,19,1.05974857,1.672242935,102,0.42907083
rule_number-58,18,1.059536075,1.672267897,58,0.358438849
rule_number-88,20,1.059626433,1.672315744,88,0.538541377
rule_number-103,18,1.059656297,1.672316734,103,0.607206166
rule_number-566,20,1.059740209,1.672317817,566,0.486703545
rule_number-307,16,1.059630974,1.672331372,307,0.519338965
rule_number-59,20,1.060448372,1.672352135,59,0.352664322
rule_number-846,18,1.059565499,1.672357221,846,0.491821885
