Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-162,18,1.059689422,1.603423251,162,0.693147242
rule_number-674,16,1.059706585,1.603473665,674,0.693147242
rule_number-836,15,1.059725005,1.606538346,836,0.693147242
rule_number-418,18,1.059665997,1.607230214,418,0.693147242
rule_number-68,18,1.059727421,1.607806285,68,0.693147242
rule_number-324,20,1.059677998,1.608018611,324,0.693147242
rule_number-580,18,1.059683873,1.608189754,580,0.693147242
rule_number-708,18,1.059678005,1.611162604,708,0.693147242
rule_number-196,16,1.05965673,1.611510052,196,0.693147242
rule_number-452,18,1.059720095,1.611754557,452,0.693147242
rule_number-6,17,1.059417984,1.612104212,6,0.693147242
rule_number-98,18,1.059714497,1.615332469,98,0.693147242
rule_number-552,14,1.060678963,1.615820687,552,0.693147242
rule_number-610,29,1.05989274,1.619763016,610,0.693147242
rule_number-176,16,1.062243061,1.619791232,176,0.693147242
rule_number-518,18,1.059459552,1.621949709,518,0.693147242
rule_number-137,18,1.059683731,1.622890217,137,0.693147242
rule_number-649,18,1.059702423,1.623281845,649,0.693147242
rule_number-808,16,1.06094403,1.623490629,808,0.693147242
rule_number-393,18,1.059684952,1.62389224,393,0.693147242
rule_number-354,17,1.05997565,1.624116426,354,0.693147242
rule_number-866,16,1.059808344,1.626827288,866,0.693147242
rule_number-786,18,1.059655663,1.628659826,786,0.693147242
rule_number-530,16,1.059719014,1.629309008,530,0.693147242
rule_number-18,15,1.059659641,1.629365682,18,0.693147242
rule_number-274,18,1.059618672,1.629519498,274,0.693147242
rule_number-262,19,1.059633261,1.631673944,262,0.693147242
rule_number-774,19,1.059508877,1.6326508,774,0.693147242
rule_number-10,18,1.059469004,1.633166556,10,0.693147242
rule_number-146,15,1.05964025,1.633558222,146,0.693147242
rule_number-522,16,1.059514216,1.633928708,522,0.693147242
rule_number-548,18,1.059538503,1.634743563,548,0.693147242
rule_number-804,18,1.059607744,1.634839571,804,0.693147242
rule_number-402,16,1.059739261,1.635043004,402,0.693147242
rule_number-36,17,1.059706798,1.635230677,36,0.693147242
rule_number-658,21,1.059738417,1.635827455,658,0.693147242
rule_number-329,15,1.059843617,1.63607136,329,0.693147242
rule_number-73,15,1.059732918,1.636232487,73,0.693147242
rule_number-292,18,1.059647656,1.636274003,292,0.693147242
rule_number-585,16,1.059675974,1.636858237,585,0.693147242
rule_number-266,17,1.059593048,1.636986999,266,0.693147242
rule_number-778,16,1.059642407,1.637709478,778,0.693147242
rule_number-841,16,1.059763808,1.638580074,841,0.693147242
rule_number-164,16,1.059702092,1.639171976,164,0.693147242
rule_number-676,18,1.0596515,1.640314525,676,0.693147242
rule_number-296,16,1.060378587,1.640803807,296,0.693147242
rule_number-12,15,1.059448468,1.641344514,12,0.693147242
rule_number-420,16,1.059820658,1.641389055,420,0.693147242
rule_number-24,18,1.059922762,1.641861701,24,0.693147242
rule_number-713,20,1.059792832,1.642034292,713,0.693147242
rule_number-390,33,1.059569245,1.643519163,390,0.693147242
rule_number-37,16,1.059696788,1.644330245,37,0.693147242
rule_number-201,18,1.059652419,1.644414496,201,0.693147242
rule_number-226,18,1.060591316,1.644441414,226,0.693147242
rule_number-138,16,1.059703938,1.645120809,138,0.693147242
rule_number-646,15,1.059505746,1.645185148,646,0.693147242
rule_number-293,19,1.059773664,1.645482681,293,0.693147242
rule_number-524,18,1.059486397,1.645663437,524,0.693147242
rule_number-650,17,1.059673529,1.645790386,650,0.693147242
rule_number-457,18,1.059744814,1.646166944,457,0.693147242
