Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-139,16,1.059613815,1.65814757,139,0.545236468
rule_number-350,17,1.059652648,1.658185507,350,0.473185718
rule_number-186,20,1.059638582,1.658343575,186,0.399661928
rule_number-259,17,1.059976388,1.659048871,259,0.434332818
rule_number-267,21,1.059594364,1.659347304,267,0.522361755
rule_number-189,26,1.059636848,1.659429276,189,0.348687679
rule_number-317,20,1.05960279,1.659479404,317,0.369340003
rule_number-318,17,1.059462762,1.659738022,318,0.358210623
rule_number-38,20,1.059623159,1.659800386,38,0.517882645
rule_number-83,17,1.059737282,1.659802024,83,0.632647574
rule_number-277,18,1.059649089,1.659840972,277,0.650205791
rule_number-185,21,1.059716619,1.659922905,185,0.389718324
rule_number-349,19,1.059597596,1.659970869,349,0.478985071
rule_number-395,26,1.059600975,1.66003543,395,0.557237327
rule_number-348,18,1.059649929,1.660387171,348,0.478674918
rule_number-215,17,1.059621775,1.660437507,215,0.398135275
rule_number-183,18,1.059629457,1.660553515,183,0.313067317
rule_number-182,20,1.059801662,1.660570087,182,0.410035938
rule_number-269,18,1.059579591,1.660608751,269,0.577877879
rule_number-75,17,1.059621345,1.660845287,75,0.583355665
rule_number-188,19,1.059688715,1.660967407,188,0.38981691
rule_number-214,19,1.059795383,1.661239682,214,0.410649985
rule_number-190,20,1.059607454,1.661284538,190,0.383465886
rule_number-331,20,1.059620882,1.661641114,331,0.586174428
rule_number-181,20,1.05963167,1.661711879,181,0.359823138
rule_number-180,20,1.05974733,1.662032166,180,0.398909628
rule_number-184,22,1.059659517,1.662111197,184,0.393600434
rule_number-316,18,1.059572228,1.662156636,316,0.359098434
rule_number-229,17,1.059908148,1.662997306,229,0.322854728
rule_number-355,18,1.059956431,1.663113149,355,0.606777012
rule_number-248,19,1.059722593,1.663295919,248,0.297415316
rule_number-213,20,1.059714539,1.663466434,213,0.406520098
rule_number-339,18,1.059776757,1.663760863,339,0.640261352
rule_number-430,17,1.059619502,1.663801367,430,0.462323487
rule_number-431,25,1.059725576,1.664052711,431,0.42793712
rule_number-212,17,1.059666609,1.664106859,212,0.432493836
rule_number-254,19,1.060206815,1.664371533,254,0.301369399
rule_number-25,21,1.059687426,1.664749815,25,0.565980613
rule_number-109,22,1.059531857,1.66477562,109,0.383147627
rule_number-295,18,1.059687284,1.664777051,295,0.517497182
rule_number-117,18,1.059617328,1.664929729,117,0.322286516
rule_number-327,20,1.059734144,1.664931463,327,0.486243099
rule_number-28,18,1.059385922,1.664938228,28,0.398942709
rule_number-347,17,1.059704126,1.664956177,347,0.4582977
rule_number-415,20,1.059580947,1.664965528,415,0.427800924
rule_number-141,19,1.059563181,1.665172406,141,0.592807055
rule_number-314,22,1.059702738,1.66519631,314,0.376527995
rule_number-315,17,1.059583127,1.665269576,315,0.360844314
rule_number-429,17,1.059760138,1.665281365,429,0.413535446
rule_number-346,18,1.059622357,1.665288828,346,0.402161956
rule_number-414,17,1.059663402,1.665394529,414,0.439003408
rule_number-110,20,1.059549303,1.665416577,110,0.359744012
rule_number-428,19,1.059680675,1.665501488,428,0.416357338
rule_number-199,20,1.059704694,1.665661922,199,0.503713489
rule_number-179,19,1.05968165,1.665741724,179,0.31921041
rule_number-391,20,1.05965695,1.665828272,391,0.468094349
rule_number-115,20,1.059651763,1.665889745,115,0.30074659
rule_number-121,19,1.059662648,1.66626584,121,0.388454199
rule_number-397,17,1.059584255,1.666268723,397,0.605153561
rule_number-203,18,1.059693135,1.66629225,203,0.602294028
rule_number-108,17,1.059648084,1.666392931,108,0.366676927
rule_number-118,18,1.059673479,1.666434289,118,0.354804993
rule_number-344,17,1.059678259,1.666507443,344,0.425961226
rule_number-461,18,1.059821359,1.666549331,461,0.65338701
rule_number-345,20,1.059714265,1.666598162,345,0.322079003
rule_number-178,18,1.059747246,1.666702875,178,0.322338402
rule_number-313,18,1.059587258,1.666894181,313,0.361722499
rule_number-167,18,1.059680825,1.666942738,167,0.544826984
rule_number-359,19,1.059693611,1.666993886,359,0.327127427
rule_number-278,20,1.059574626,1.667006806,278,0.488117754
rule_number-107,18,1.059640019,1.667139827,107,0.438707501
rule_number-312,19,1.05965753,1.667473069,312,0.360303015
rule_number-13,18,1.059847865,1.667808878,13,0.438667446
rule_number-252,18,1.059571804,1.667891123,252,0.418508202
rule_number-228,18,1.060144564,1.668069927,228,0.43705076
rule_number-319,18,1.059942186,1.668096624,319,0.34008345
rule_number-413,18,1.059608462,1.668106371,413,0.445842505
rule_number-106,18,1.059628656,1.668295263,106,0.467616379
rule_number-135,32,1.060669834,1.668319151,135,0.418836594
rule_number-281,18,1.059601052,1.668369268,281,0.570583582
rule_number-358,18,1.059893495,1.668416088,358,0.349081218
rule_number-30,16,1.059374055,1.668516775,30,0.385134906
rule_number-383,28,1.05995934,1.668578474,383,0.337860793
rule_number-126,19,1.059517381,1.668656865,126,0.312752903
rule_number-125,20,1.059753564,1.668690418,125,0.337398976
rule_number-123,20,1.05987751,1.66871135,123,0.323389351
rule_number-270,20,1.059541969,1.668990841,270,0.423346758
rule_number-412,18,1.059702153,1.669026098,412,0.437822849
rule_number-263,20,1.059691087,1.669082542,263,0.41023463
rule_number-116,22,1.059562914,1.669129941,116,0.346357703
rule_number-114,18,1.059627439,1.669264572,114,0.317066431
rule_number-111,20,1.059487944,1.669356464,111,0.353009731
rule_number-175,21,1.059607024,1.669470281,175,0.530881703
rule_number-119,18,1.059503804,1.669500474,119,0.345176548
rule_number-311,20,1.059648505,1.669625475,311,0.408137262
rule_number-423,18,1.059743663,1.669637639,423,0.562677622
rule_number-5,16,1.059728008,1.669643382,5,0.38869068
rule_number-122,18,1.059633774,1.669661634,122,0.319761515
